date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:58%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/member/ubahpass.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/member/ubahpass.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:42:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:58%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/member/lupapass.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/member/lupapass.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:43:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:59%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/komunitas/screenshot.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/komunitas/screenshot.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:43:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:42:59%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/member/aturan.asp?job=lihat	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/member/aturane314.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:43:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:43:00%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/komunitas/fansite.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/komunitas/fansite.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:43:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:43:00%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/komunitas/screenshot.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/komunitas/screenshot.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:43:02	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:43:01%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/itemmall/panduan.asp	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/itemmall/panduan.asp	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:44:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:43:01%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/komunitas/komik/	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/komunitas/komik/index.html	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:44:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:43:01%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/komunitas/granking/	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/komunitas/granking/index.html	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
21:44:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2007%20Mar%202021%2014:43:02%20GMT	https://web.archive.org/web/20070202023211/http://www.sealindo.com/komunitas/pameran/mkg3/	C:/My%20Web%20Sites/Home%20Game/web.archive.org/web/20070202023211/http_/www.sealindo.com/komunitas/pameran/mkg3/index.html	(from https://web.archive.org/web/20070202023211/http://www.sealindo.com/default.asp)
